id;assemblage;replicate
degraded1;degraded;1
degraded3;degraded;3
degraded4;degraded;4
degraded5;degraded;5
degraded6;degraded;6
forest2;forest;2
forest3;forest;3
forest4;forest;4
forest5;forest;5
forest6;forest;6
restored_forest1;restored_forest;1
restored_forest2;restored_forest;2
restored_forest5;restored_forest;5
restored_forest6;restored_forest;6
